here_api_id,placeName,city,county,street,houseNumber,coordinates
here:pds:place:804u8vxn-1505809ce25640f9b1fbf9b425c997fa,Андріївська церква,Київ,Київська область,Андріївський узвіз,23,"{""lat"": 50.45898, ""lng"": 30.51798}"
here:pds:place:804u8vwy-16231612e4e04568acb5f031c68e3f44,Володимирський Собор,Київ,Київська область,Тараса Шевченка бульвар,20,"{""lat"": 50.44413, ""lng"": 30.51075}"
here:pds:place:804u8vxn-bf5f731083884473be1486cdc2d858d6,Монастир Святого Василія Великого,Київ,Київська область,Вознесенський узвіз,,"{""lat"": 50.45748, ""lng"": 30.50587}"
here:pds:place:804u8vwy-9c369f65dbd644b999df32cb58049dd5,Євангельська Пресвітеріанська церква Святої Трійці,Київ,Київська область,Героїв Небесної Сотні алея,1,"{""lat"": 50.4499, ""lng"": 30.52797}"
here:pds:place:804u8c56-3fc056b8a6bc47ec96a6ca02ab9f0330,Монастир Святого Онуфрія,Львів,Львівська область,Богдана Хмельницького вулиця,36,"{""lat"": 49.84915, ""lng"": 24.02848}"
here:pds:place:804aabd1-9de748a5114005ebdf38c8ea01926a0b,Церква Святої Параскеви,Чернівці,Чернівецька область,Марії Заньковецької вулиця,24,"{""lat"": 48.29559, ""lng"": 25.93593}"
here:pds:place:804aabd1-71aabc04582802bebef3cb8aba2d031c,Церква Божого Милосердя та Богоматері Неустанної Помочі,Тернопіль,Тернопільська область,Євгена Коновальця вулиця,,"{""lat"": 49.55113, ""lng"": 25.6221}"
here:pds:place:804aabd1-92e21207069c08c3c4cfdaa6a3de7d81,Церква Стрітення Господнього,Одеса,Одеська область,Свободи проспект,,"{""lat"": 46.35507, ""lng"": 30.70191}"
here:pds:place:804u8c5d-a0174d3481fc9da285a020f71b6b213e,Церква Стрітення,Львів,Львівська область,Володимира Винниченка вулиця,,"{""lat"": 49.83892, ""lng"": 24.03565}"
here:pds:place:804t4x7z-443574218e180f61926bf65023c6066d,Собор Святого Юра,Львів,Львівська область,Святого Юра площа,5,"{""lat"": 49.83857, ""lng"": 24.01249}"
here:pds:place:804aabd1-0d470d0ef0e104391db38e0c03215c8f,Спасо-Преображенський храм,Одеса,Одеська область,Комінтерну вулиця,37,"{""lat"": 46.47369, ""lng"": 30.63883}"
here:pds:place:804aabd1-75f1295e01bc01a7f19ee5d36b1e3020,Спасо-Преображенський Собор Кіровоградщини,Кропивницький,Кіровоградська область,Преображенська вулиця,22,"{""lat"": 48.50471, ""lng"": 32.26848}"
here:pds:place:804u8c5d-d13cfaf56c33492abb096f1bf373cee5,Церква Преображення,Львів,Львівська область,Краківська вулиця,21,"{""lat"": 49.84362, ""lng"": 24.0292}"
here:pds:place:804ubcuh-eadab8c64e3a4f58bff6d655ebb6375a,Державний Природничий Музей,Харків,Харківська область,Трінклера вулиця,8,"{""lat"": 50.01284, ""lng"": 36.24085}"
here:pds:place:804u8mb7-86b3939e1cee4f27a3fb0a9a1747d95d,Одеський Театр Опери Та Балету,Одеса,Одеська область,Петра Чайковського провулок,1,"{""lat"": 46.48545, ""lng"": 30.74119}"
here:pds:place:804u8c5d-6d29fca69de84df8993d8b0afeb2d60f,Львівська Опера,Львів,Львівська область,Свободи проспект,28,"{""lat"": 49.84398, ""lng"": 24.026}"
here:pds:place:804u89w6-d055395e2a8c43c3a1c1c40132f07ae0,Музей Палац Потоцьких,Івано-Франківськ,Івано-Франківська область,Госпітальна вулиця,5,"{""lat"": 48.92467, ""lng"": 24.71301}"
here:pds:place:804u8vxj-2a58fa334e46bc0902530e537f63c21c,Друкарня,Київ,Київська область,Гаванський провулок,,"{""lat"": 50.48116, ""lng"": 30.49318}"
here:pds:place:804u8vwz-a6d9907645c14912a9b7b1ca0e2e82bc,Метро-Арсенальна,Київ,Київська область,Михайла Грушевського вулиця,,"{""lat"": 50.44381, ""lng"": 30.54491}"
here:pds:place:804u8c5d-1e66e043829a2ed518fcefcacdb614c3,Театр Марії Заньковецької,Львів,Львівська область,Лесі Українки вулиця,1,"{""lat"": 49.844, ""lng"": 24.02714}"
